lon,lat,ele,time,extensions,event,date,hrminsec
-79.52546392567456,8.913291106000543,41.79999923706055,2016-01-31T15:13:32.000Z,84,Run,2016-01-31,2016-01-31T15:13:32Z
-79.52553525567055,8.913481291383505,42,2016-01-31T15:13:39.000Z,84,Run,2016-01-31,2016-01-31T15:13:39Z
-79.52559342607856,8.91368044540286,41.79999923706055,2016-01-31T15:13:45.000Z,85,Run,2016-01-31,2016-01-31T15:13:45Z
-79.5256551168859,8.913857638835907,41.79999923706055,2016-01-31T15:13:50.000Z,84,Run,2016-01-31,2016-01-31T15:13:50Z
-79.52570884488523,8.914030389860272,42,2016-01-31T15:13:55.000Z,84,Run,2016-01-31,2016-01-31T15:13:55Z
-79.5257708709687,8.914208086207509,42,2016-01-31T15:14:00.000Z,84,Run,2016-01-31,2016-01-31T15:14:00Z
-79.52584044076502,8.914379496127367,42,2016-01-31T15:14:05.000Z,84,Run,2016-01-31,2016-01-31T15:14:05Z
-79.5259294565767,8.914542524144053,42,2016-01-31T15:14:10.000Z,84,Run,2016-01-31,2016-01-31T15:14:10Z
-79.52604537829757,8.914694907143712,42,2016-01-31T15:14:15.000Z,84,Run,2016-01-31,2016-01-31T15:14:15Z
-79.52618317678571,8.91482474282384,41.599998474121094,2016-01-31T15:14:20.000Z,84,Run,2016-01-31,2016-01-31T15:14:20Z
-79.52636590227485,8.914942760020494,41.79999923706055,2016-01-31T15:14:26.000Z,84,Run,2016-01-31,2016-01-31T15:14:26Z
-79.52652951702476,8.915033368393779,41.599998474121094,2016-01-31T15:14:31.000Z,84,Run,2016-01-31,2016-01-31T15:14:31Z
-79.52671618200839,8.915092628449202,41.599998474121094,2016-01-31T15:14:37.000Z,84,Run,2016-01-31,2016-01-31T15:14:37Z
-79.52689982950687,8.915115678682923,41.599998474121094,2016-01-31T15:14:42.000Z,84,Run,2016-01-31,2016-01-31T15:14:42Z
-79.52708926051855,8.915117271244526,41.79999923706055,2016-01-31T15:14:47.000Z,84,Run,2016-01-31,2016-01-31T15:14:47Z
-79.52727366238832,8.915102183818817,41.599998474121094,2016-01-31T15:14:52.000Z,84,Run,2016-01-31,2016-01-31T15:14:52Z
-79.52746694907546,8.915084498003125,41.79999923706055,2016-01-31T15:14:57.000Z,84,Run,2016-01-31,2016-01-31T15:14:57Z
-79.52764866873622,8.91506320796907,41.599998474121094,2016-01-31T15:15:02.000Z,84,Run,2016-01-31,2016-01-31T15:15:02Z
-79.52782527543604,8.915011323988438,42,2016-01-31T15:15:07.000Z,84,Run,2016-01-31,2016-01-31T15:15:07Z
-79.52800129540265,8.914936725050211,42,2016-01-31T15:15:13.000Z,84,Run,2016-01-31,2016-01-31T15:15:13Z
